supplier_id, company_name,contact_number,address
1,PFIZER,612345678,123 Health Ave
2,ROCHE,613456789,88 Pharma Way
3,NOVARTIS,614567890,56 Biotech Blvd
4,SANOFI,615678901,22 Wellness St
5,ASTRAZENECA,616789012,19 Cure Avenue
6,JOHNSON_AND_JOHNSON,617890123,35 Vitality Rd
7,MERCK,618901234,78 Innovation Ln
8,BAYER,619012345,40 Greenfield Blvd
9,MODERNA,620123456,66 mRNA Drive
10,SIEMENS,621234567,34 Diagnostic Ln
11,GE_HEALTHCARE,622345678,12 Imaging Park
12,PHILIPS,623456789,21 Monitor Blvd
13,MEDTRONIC,624567890,18 NeuroTech St
14,BAXTER,625678901,90 Dialysis Rd
15,STRYKER,626789012,51 Ortho Center
16,BOSTON_SCIENTIFIC,627890123,73 Surgery Plaza
17,OLYMPUS,628901234,28 Endoscopy Ave
18,ABBOTT,629012345,84 Biomed Blvd
19,ZOLL,630123456,77 Emergency Rd
20,THERMO_FISHER,631234567,55 Lab District
21,BD,632345678,65 Syringe Street
22,CARDINAL_HEALTH,633456789,42 Distribution Way
23,FRESENIUS,634567890,61 Renal Ave
24,SMITH_AND_NEPHEW,635678901,36 WoundCare Blvd
